bagid,naam,adamlink
363300000002507,Belmermeer,https://adamlink.nl/geo/street/belmermeer/369
363300000005916,"Ben Alder",https://adamlink.nl/geo/street/ben-alder/373
363300000005914,"Ben Avon",https://adamlink.nl/geo/street/ben-avon/374
363300000005915,"Ben Hope",https://adamlink.nl/geo/street/ben-hope/375
363300000005923,"Ben Lawers",https://adamlink.nl/geo/street/ben-lawers/376
363300000005924,"Ben Nevis",https://adamlink.nl/geo/street/ben-nevis/377
363300000005925,"Ben Wyvis",https://adamlink.nl/geo/street/ben-wyvis/381
363300000002517,Bergmolen,
363300000002520,Berkhouthof,https://adamlink.nl/geo/street/berkhouthof/400
363300000001280,"Bernard Leenepad",https://adamlink.nl/geo/street/bernard-leenepad/405
363300000002524,"Bernard Zweerskade",https://adamlink.nl/geo/street/bernard-zweerskade/408
363300000002528,Berthelotstraat,https://adamlink.nl/geo/street/berthelotstraat/416
363300000002920,Betuwestraat,https://adamlink.nl/geo/street/betuwestraat/427
363300000001614,Bezembinderspad,https://adamlink.nl/geo/street/bezembinderspad/441
363300000001618,Bieslookpad,https://adamlink.nl/geo/street/bieslookpad/448
363300000002934,Bijlmerplein,https://adamlink.nl/geo/street/bijlmerplein/452
363300000002936,Bilderdijkpark,https://adamlink.nl/geo/street/bilderdijkpark/458
363300000002946,Binnenkant,https://adamlink.nl/geo/street/binnenkant/477
363300000005381,Binnenvaart,https://adamlink.nl/geo/street/binnenvaart/479
363300000002947,Biothof,https://adamlink.nl/geo/street/biothof/481
363300000002950,Blancefloorstraat,https://adamlink.nl/geo/street/blancefloorstraat/485
363300000001113,Blauwdasstraat,https://adamlink.nl/geo/street/blauwdasstraat/490
363300000002964,"Boas en Judelshof",https://adamlink.nl/geo/street/boas-en-judelshof/511
363300000002966,Boeierspad,https://adamlink.nl/geo/street/boeierspad/515
363300000002967,Boerensteeg,https://adamlink.nl/geo/street/boerensteeg/518
363300000002971,B̦hlerpad,https://adamlink.nl/geo/street/bohlerpad/525
363300000001485,Bonhoeffersingel,https://adamlink.nl/geo/street/bonhoeffersingel/535
363300000005736,Boorderstraat,https://adamlink.nl/geo/street/boorderstraat/544
363300000002989,Borrendammehof,https://adamlink.nl/geo/street/borrendammehof/561
363300000002996,Bosbraakhof,https://adamlink.nl/geo/street/bosbraakhof/568
363300000003000,Botteskerksingel,https://adamlink.nl/geo/street/botteskerksingel/575
363300000003003,Boutensstraat,https://adamlink.nl/geo/street/boutensstraat/579
363300000003004,Bouvigne,https://adamlink.nl/geo/street/bouvigne/580
363300000003005,"Bouwen Ewoutszstraat",https://adamlink.nl/geo/street/bouwen-ewoutszstraat/581
363300000003007,Bovenkruier,
363300000003010,"Braak en Bosch",https://adamlink.nl/geo/street/braak-en-bosch/588
363300000003020,Brediusstraat,https://adamlink.nl/geo/street/brediusstraat/602
363300000005687,Breedveld,https://adamlink.nl/geo/street/breedveld/603
363300000003027,Brisselkerkstraat,https://adamlink.nl/geo/street/brisselkerkstraat/616
363300000001233,"Bruins Slotstraat",https://adamlink.nl/geo/street/bruins-slotstraat/625
363300000001540,Buiksloterbreek,https://adamlink.nl/geo/street/buiksloterbreek/629
363300000005926,Buitendijk,https://adamlink.nl/geo/street/buitendijk/647
363300000003044,Buitenrustpad,https://adamlink.nl/geo/street/buitenrustpad/653
363300000003058,"Burgemeester Stramanweg",https://adamlink.nl/geo/street/burgemeester-stramanweg/672
363300000003062,"Burgemeester Van Tienhovengracht",https://adamlink.nl/geo/street/burgemeester-van-tienhovengracht/676
363300000003064,Burgersdijkstraat,https://adamlink.nl/geo/street/burgersdijkstraat/678
363300000003065,Burgersweerhof,https://adamlink.nl/geo/street/burgersweerhof/679
363300000003070,Bussumstraat,https://adamlink.nl/geo/street/bussumstraat/686
363300000001231,"C.P.M. Rommeplantsoen",https://adamlink.nl/geo/street/cpm-rommeplantsoen/847
363300000003079,Campanulapad,https://adamlink.nl/geo/street/campanulapad/700
363300000005688,"Carry Pothuis-Smitstraat",https://adamlink.nl/geo/street/carry-pothuissmitstraat/713
363300000003084,"Carry van Bruggenstraat",https://adamlink.nl/geo/street/carry-van-bruggenstraat/714
363300000003089,Celebesstraat,https://adamlink.nl/geo/street/celebesstraat/724
363300000001421,Centavoshof,https://adamlink.nl/geo/street/centavoshof/728
363300000001410,Centimehof,https://adamlink.nl/geo/street/centimehof/729
363300011951244,"Centrale Groothandelsmarkt",https://adamlink.nl/geo/street/centrale-groothandelsmarkt/6400
363300000001274,"Charlotte Cooperpad",https://adamlink.nl/geo/street/charlotte-cooperpad/738
363300000000989,"Chico Mendesstraat",https://adamlink.nl/geo/street/chico-mendesstraat/743
363300000003104,"Christine Poolmanhof",https://adamlink.nl/geo/street/christine-poolmanhof/750
363300000003105,"Christine Stoetzhof",https://adamlink.nl/geo/street/christine-stoetzhof/751
363300000003106,"Christoffel Plantijnpad",https://adamlink.nl/geo/street/christoffel-plantijnpad/753
363300000001608,Circusplein,https://adamlink.nl/geo/street/circusplein/761
363300000003111,Citroenenstraat,https://adamlink.nl/geo/street/citroenenstraat/763
363300000003113,Clauskindereweg,https://adamlink.nl/geo/street/clauskindereweg/773
363300000003120,"Colnot en Poonshof",https://adamlink.nl/geo/street/colnot-en-poonshof/785
363300000003131,Coornhertstraat,https://adamlink.nl/geo/street/coornhertstraat/801
363300000003135,"Cor Ruyshof",https://adamlink.nl/geo/street/cor-ruyshof/805
363300000003139,"Cornelis de Grootpad",https://adamlink.nl/geo/street/cornelis-de-grootpad/812
363300000003141,"Cornelis Dopperkade",https://adamlink.nl/geo/street/cornelis-dopperkade/816
363300000003150,"Cornelis Sorgdragerstraat",https://adamlink.nl/geo/street/cornelis-sorgdragerstraat/827
363300000001358,"Cornelis van Rijplantsoen",https://adamlink.nl/geo/street/cornelis-van-rijplantsoen/833
363300000003158,Coronelstraat,https://adamlink.nl/geo/street/coronelstraat/837
363300000003166,"Cromme Camp",https://adamlink.nl/geo/street/cromme-camp/849
363300000003172,Cruuskerkstraat,https://adamlink.nl/geo/street/cruuskerkstraat/855
363300000005595,Daalwijk,https://adamlink.nl/geo/street/daalwijk/867
363300000001281,"Daan van Dijkpad",https://adamlink.nl/geo/street/daan-van-dijkpad/871
363300000001425,Dachstein,https://adamlink.nl/geo/street/dachstein/872
363300000003183,Dadelstraat,https://adamlink.nl/geo/street/dadelstraat/874
363300000003184,Daelenbroek,https://adamlink.nl/geo/street/daelenbroek/875
363300000003185,Daltonstraat,https://adamlink.nl/geo/street/daltonstraat/879
457300000000043,Dammerweg,https://adamlink.nl/geo/street/dammerweg/8923
363300000003187,Damrak,https://adamlink.nl/geo/street/damrak/882
363300000003195,Danzigerkade,https://adamlink.nl/geo/street/danzigerkade/892
363300000003198,Darwinplantsoen,https://adamlink.nl/geo/street/darwinplantsoen/895
363300000005689,"David Wijnkoopstraat",https://adamlink.nl/geo/street/david-wijnkoopstraat/902
363300000003205,"De Biezenhof",https://adamlink.nl/geo/street/de-biezenhof/906
363300000003208,"De Breekstraat",https://adamlink.nl/geo/street/de-breekstraat/910
363300000003211,"De Duikerstraat",https://adamlink.nl/geo/street/de-duikerstraat/914
363300000003212,"De Egmondenstraat",https://adamlink.nl/geo/street/de-egmondenstraat/915
363300011951433,"De Leggende Osstraat",https://adamlink.nl/geo/street/de-leggende-osstraat/6410
363300000006091,"De Ruijterkade",https://adamlink.nl/geo/street/de-ruijterkade/938
363300000003229,"De Sitterstraat",https://adamlink.nl/geo/street/de-sitterstraat/941
363300000003235,"Del Court van Krimpenstraat",https://adamlink.nl/geo/street/del-court-van-krimpenstraat/948
363300000006045,Demerarastraat,https://adamlink.nl/geo/street/demerarastraat/5301
363300000005598,Dennenrode,https://adamlink.nl/geo/street/dennenrode/962
363300000002608,"Derde Kostverlorenkade",https://adamlink.nl/geo/street/derde-kostverlorenkade/968
363300000003248,Dever,https://adamlink.nl/geo/street/dever/983
457300000000222,Dichtershof,https://adamlink.nl/geo/street/dichtershof/8930
363300000003253,Diemerzeedijk,https://adamlink.nl/geo/street/diemerzeedijk/996
